sal_code_2021,sal_name_2021
SAL10599,Brooman
SAL10600,Brooms Head
SAL10601,Broughams Gate
SAL10602,Broughton (NSW)
SAL10603,Broughton Vale
SAL10604,Broughton Village
SAL10605,Broulee
SAL10606,Brownlow Hill
SAL10607,Browns Creek
SAL10608,Browns Mountain
SAL10609,Brownsville
SAL10610,Brucedale
SAL10611,Bruie Plains
SAL10612,Bruinbun
SAL10613,Brumby Plains
SAL10614,Brundee
SAL10615,Brungle
SAL10616,Brungle Creek
SAL10617,Brunkerville
SAL10618,Brunswick Heads
SAL10619,Brushgrove
SAL10620,Brushy Creek
SAL10621,Buangla
SAL10622,Bucca (NSW)
SAL10623,Bucca Wauka
SAL10624,Buccarumbi
SAL10625,Buchanan (NSW)
SAL10626,Buckajo
SAL10627,Buckaroo
SAL10628,Buckenbowra
SAL10629,Buckenderra
SAL10630,Buckendoon
SAL10631,Bucketty
SAL10632,Buckra Bendinni
SAL10633,Budawang
SAL10634,Buddabadah
SAL10635,Budden
SAL10636,Budderoo
SAL10637,Buddong
SAL10638,Budgee Budgee (NSW)
SAL10639,Budgewoi
SAL10640,Budgewoi Peninsula
SAL10641,Budgong
SAL10642,Buff Point
SAL10643,Bugaldie
SAL10644,Bukalong
SAL10645,Bukkulla
SAL10646,Bulahdelah
SAL10647,Bulee
SAL10648,Bulga (NSW)
SAL10649,Bulga Forest
SAL10650,Bulgary
SAL10651,Bulla (NSW)
SAL10652,Bulla Creek
SAL10653,Bullaburra
SAL10654,Bullagreen
SAL10655,Bullarah
SAL10656,Bullatale
SAL10657,Bullawa Creek
SAL10658,Bulldog
SAL10659,Bulli
SAL10660,Bulliac
SAL10661,Bullio
SAL10662,Bulyeroi
SAL10663,Bumbaldry
SAL10664,Bumbalong
SAL10665,Bundabah
SAL10666,Bundagen
SAL10667,Bundanoon (NSW)
SAL10668,Bundarra
SAL10669,Bundeena
SAL10670,Bundella
SAL10671,Bundemar
SAL10672,Bundewallah
SAL10673,Bundook
SAL10674,Bundure
SAL10675,Bungaba
SAL10676,Bungabbee
SAL10677,Bungalora
SAL10678,Bungarby
SAL10679,Bungarribee
SAL10680,Bungawalbin
SAL10681,Bungendore
SAL10682,Bungonia
SAL10683,Bungowannah
SAL10684,Bungwahl
SAL10685,Bunnaloo
SAL10686,Bunnan
SAL10687,Bunyah
SAL10688,Bunyan
SAL10689,Burcher
SAL10690,Bureen
SAL10691,Burnt Bridge
SAL10692,Burnt Yards
SAL10693,Buronga
SAL10694,Burra (Queanbeyan-Palerang Regional - NSW)
SAL10695,Burra (Snowy Valleys - NSW)
SAL10696,Burra Creek
SAL10697,Burraboi
SAL10698,Burradoo
SAL10699,Burraga
SAL10700,Burragate
SAL10701,Burrandana
SAL10702,Burraneer
SAL10703,Burrangong
SAL10704,Burrapine
SAL10705,Burrawang
SAL10706,Burrell Creek
SAL10707,Burren Junction
SAL10708,Burrier
SAL10709,Burrill Lake
SAL10710,Burringbar
SAL10711,Burrinjuck
SAL10712,Burroway
SAL10713,Burrumbuttock
SAL10714,Burrundulla
SAL10715,Burrungubugge
SAL10716,Burwood (NSW)
SAL10717,Burwood Heights
SAL10718,Busby
SAL10719,Busbys Flat
SAL10720,Bushells Ridge
SAL10721,Buttaba
SAL10722,Buttai
SAL10723,Butterwick
SAL10724,Buxton (NSW)
SAL10725,Byabarra
