sal_code_2021,sal_name_2021,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
SAL20118,Balmattum,204011060,Seymour Surrounds,0.33,low
SAL20119,Balmoral (Vic.),217011423,Southern Grampians,100.0,high
SAL20120,Balnarring,214021379,Hastings - Somers,87.73,medium
SAL20120,Balnarring,214021378,Flinders,12.27,low
SAL20121,Balnarring Beach,214021379,Hastings - Somers,87.73,medium
SAL20121,Balnarring Beach,214021378,Flinders,12.27,low
SAL20122,Balook,205051104,Yarram,100.0,high
SAL20122,Balook,205041094,Churchill,0.0,low
SAL20123,Balwyn,207011147,Balwyn,100.0,high
SAL20124,Balwyn North,207011148,Balwyn North,99.17,high
SAL20124,Balwyn North,207031164,Box Hill North,0.83,low
SAL20124,Balwyn North,207021156,Bulleen,0.0,low
SAL20124,Balwyn North,207021157,Doncaster,0.0,low
SAL20125,Bamawm,216011409,Rochester,85.0,medium
SAL20125,Bamawm,216011408,Lockington - Gunbower,12.99,low
SAL20125,Bamawm,216011407,Kyabram,2.01,low
SAL20126,Bamawm Extension,216011406,Echuca,91.55,high
SAL20126,Bamawm Extension,216011408,Lockington - Gunbower,8.15,low
SAL20126,Bamawm Extension,216011407,Kyabram,0.3,low
SAL20127,Bambra,203011036,Winchelsea,93.72,high
SAL20127,Bambra,203031049,Lorne - Anglesea,3.14,low
SAL20127,Bambra,217031473,Colac Surrounds,3.14,low
SAL20128,Bamganie,203011035,Golden Plains - South,100.0,high
SAL20129,Bandiana,204031491,Baranduda - Leneva,59.44,low
SAL20129,Bandiana,204031075,Yackandandah,20.42,low
SAL20129,Bandiana,204031072,Towong,9.52,low
SAL20129,Bandiana,204031069,Bright - Mount Beauty,5.41,low
SAL20129,Bandiana,204031073,West Wodonga,4.7,low
SAL20129,Bandiana,204031492,Wodonga,0.02,low
SAL20130,Bangerang,215011394,Yarriambiack,98.92,high
SAL20130,Bangerang,215031400,Buloke,1.08,low
SAL20131,Bangholme,212041312,Dandenong North,42.12,low
