poa_code_2021,postcode,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
POA3156,3156,211011254,Knoxfield - Scoresby,0.81,low
POA3156,3156,211011257,Rowville - North,0.33,low
POA3156,3156,211051274,Belgrave - Selby,0.25,low
POA3158,3158,211051284,Upwey - Tecoma,100.0,high
POA3159,3159,211051274,Belgrave - Selby,97.21,high
POA3159,3159,211051282,Mount Dandenong - Olinda,2.79,low
POA3160,3160,211051274,Belgrave - Selby,77.1,medium
POA3160,3160,211051284,Upwey - Tecoma,22.9,low
POA3161,3161,208021177,Caulfield - North,100.0,high
POA3162,3162,208021178,Caulfield - South,100.0,high
POA3163,3163,208021176,Carnegie,56.42,low
POA3163,3163,208021181,Murrumbeena,28.62,low
POA3163,3163,208021182,Ormond - Glen Huntly,14.96,low
POA3165,3165,208021426,Bentleigh East - North,54.04,low
POA3165,3165,208021427,Bentleigh East - South,45.96,low
POA3166,3166,212051326,Oakleigh - Huntingdale,69.52,medium
POA3166,3166,208021180,Hughesdale,30.48,low
POA3166,3166,212051319,Ashwood - Chadstone,0.0,low
POA3167,3167,212051326,Oakleigh - Huntingdale,58.16,low
POA3167,3167,212041309,Clarinda - Oakleigh South,41.84,low
POA3168,3168,212051568,Clayton - Central,55.12,low
POA3168,3168,212051567,Clayton (North) - Notting Hill,44.88,low
POA3169,3169,212041310,Clayton South,64.15,medium
POA3169,3169,212041309,Clarinda - Oakleigh South,35.85,low
POA3170,3170,212051325,Mulgrave,100.0,high
POA3171,3171,212041317,Springvale,100.0,high
POA3172,3172,212041318,Springvale South,54.29,low
POA3172,3172,212041313,Dingley Village,45.08,low
POA3172,3172,212041460,Noble Park - West,0.61,low
POA3172,3172,208031184,Braeside,0.02,low
POA3173,3173,212041565,Keysborough - North,50.26,low
POA3173,3173,212041566,Keysborough - South,49.74,low
POA3174,3174,212041460,Noble Park - West,49.02,low
POA3174,3174,212041459,Noble Park - East,32.05,low
POA3174,3174,212041316,Noble Park North,18.74,low
POA3174,3174,212041317,Springvale,0.19,low
POA3175,3175,212041312,Dandenong North,42.12,low
POA3175,3175,212041563,Dandenong - North,40.1,low
POA3175,3175,212041564,Dandenong - South,17.4,low
POA3175,3175,212041566,Keysborough - South,0.34,low
POA3175,3175,212041316,Noble Park North,0.04,low
POA3177,3177,212021295,Doveton,100.0,high
POA3178,3178,211011256,Rowville - Central,45.9,low
POA3178,3178,211011258,Rowville - South,30.91,low
POA3178,3178,211011257,Rowville - North,23.18,low
POA3178,3178,211011254,Knoxfield - Scoresby,0.0,low
POA3179,3179,211011254,Knoxfield - Scoresby,100.0,high
POA3180,3180,211011254,Knoxfield - Scoresby,100.0,high
POA3180,3180,211011257,Rowville - North,0.0,low
POA3181,3181,206061136,Prahran - Windsor,96.33,high
POA3181,3181,206051514,St Kilda - West,3.67,low
POA3182,3182,206051513,St Kilda - Central,51.65,low
POA3182,3182,206051514,St Kilda - West,46.19,low
POA3182,3182,206051134,St Kilda East,2.16,low
POA3183,3183,206051134,St Kilda East,76.89,medium
POA3183,3183,208021177,Caulfield - North,23.11,low
POA3184,3184,206051129,Elwood,97.78,high
POA3184,3184,206051513,St Kilda - Central,1.78,low
POA3184,3184,206051514,St Kilda - West,0.44,low
POA3185,3185,208021179,Elsternwick,88.48,medium
