postcode,locality,state,type,status,lat,lng,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,lga_name,lga_code
3078,ALPHINGTON,VIC,Delivery Area,Updated 6-Feb-2020,-37.78,145.023,20607114520,Fairfield (Vic.),206071145,Clifton Hill - Alphington,Yarra,27350
3078,FAIRFIELD,VIC,Delivery Area,Updated 6-Feb-2020,-37.7790074,145.0181267,20607114520,Fairfield (Vic.),206071145,Clifton Hill - Alphington,Yarra,27350
3079,IVANHOE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7703,145.0457,20901120118,Ivanhoe East,209011201,Ivanhoe East - Eaglemont,Banyule,20660
3079,IVANHOE EAST,VIC,Delivery Area,Updated 6-Feb-2020,-37.772,145.066,20901120118,Ivanhoe East,209011201,Ivanhoe East - Eaglemont,Banyule,20660
3079,IVANHOE NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7595762,145.0442237,20901120118,Ivanhoe East,209011201,Ivanhoe East - Eaglemont,Banyule,20660
3081,BELLFIELD,VIC,Delivery Area,Updated 6-Feb-2020,-37.754,145.045,20901119936,Heidelberg Heights,209011199,Heidelberg West,Banyule,20660
3081,HEIDELBERG HEIGHTS,VIC,Delivery Area,Updated 6-Feb-2020,-37.742,145.053,20901119936,Heidelberg Heights,209011199,Heidelberg West,Banyule,20660
3081,HEIDELBERG RGH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7418,145.044,20901119936,Heidelberg Heights,209011199,Heidelberg West,Banyule,20660
3081,HEIDELBERG WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.744,145.047,20901119936,Heidelberg Heights,209011199,Heidelberg West,Banyule,20660
3082,MILL PARK,VIC,Delivery Area,Updated 6-Feb-2020,-37.6649616,145.0658766,20904122129,Mill Park,209041221,Mill Park - South,Whittlesea,27070
3083,BUNDOORA,VIC,Delivery Area,Updated 6-Feb-2020,-37.6987006,145.0548502,20904121718,Bundoora (Vic.),209041217,Bundoora - West,Darebin,21890
3083,KINGSBURY,VIC,Delivery Area,Updated 6-Feb-2020,-37.715,145.034,20904121718,Bundoora (Vic.),209041217,Bundoora - West,Darebin,21890
3083,LA TROBE UNIVERSITY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7206639,145.0483389,20904121718,Bundoora (Vic.),209041217,Bundoora - West,Darebin,21890
3084,BANYULE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7436031,145.0769045,20901120346,Viewbank,209011203,Viewbank - Yallambie,Banyule,20660
3084,EAGLEMONT,VIC,Delivery Area,Updated 6-Feb-2020,-37.7644773,145.0628446,20901120346,Viewbank,209011203,Viewbank - Yallambie,Banyule,20660
3084,HEIDELBERG,VIC,Delivery Area,Updated 6-Feb-2020,-37.752695,145.0703364,20901120346,Viewbank,209011203,Viewbank - Yallambie,Banyule,20660
3084,ROSANNA,VIC,Delivery Area,Updated 6-Feb-2020,-37.7409649,145.0683729,20901120346,Viewbank,209011203,Viewbank - Yallambie,Banyule,20660
3084,VIEWBANK,VIC,Delivery Area,Updated 6-Feb-2020,-37.731,145.1,20901120346,Viewbank,209011203,Viewbank - Yallambie,Banyule,20660
