year,suburb_key,postcode,suburb_name,lga_key,lga_name,total_offences,person_offences,property_offences,disorder_offences,other_offences,total_offence_percentile,person_crime_percentile,property_crime_percentile,disorder_crime_percentile,crime_context_score,crime_context_label,crime_context_summary,crime_context_score_raw
2025,MILLGROVE,3799,Millgrove,YARRA RANGES,Yarra Ranges,316,46,255,15,0,0.8384,0.8276,0.8616,0.7007,21.2,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",18.8
2025,MILLOO,3572,Milloo,CAMPASPE,Campaspe,1,0,1,0,0,0.0546,0.1455,0.1419,0.1417,96.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",85.6
2025,MILLTOWN,3304,Milltown,GLENELG,Glenelg,6,0,4,2,0,0.3729,0.1455,0.4181,0.4423,80.3,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",71.3
2025,MINCHA,3575,Mincha,LODDON,Loddon,5,0,1,4,0,0.3319,0.1455,0.1419,0.5339,87.6,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",77.8
2025,MINERS REST,3352,Miners Rest,BALLARAT,Ballarat,179,26,119,34,0,0.7918,0.778,0.8073,0.7659,24.3,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",21.6
2025,MINHAMITE,3287,Minhamite,MOYNE,Moyne,2,1,1,0,0,0.1467,0.3566,0.1419,0.1417,84.6,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",75.1
2025,MINIMAY,3413,Minimay,WEST WIMMERA,West Wimmera,3,0,0,3,0,0.2182,0.1455,0.0351,0.4935,92.1,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.8
2025,MINYIP,3392,Minyip,YARRIAMBIACK,Yarriambiack,63,10,16,37,0,0.7203,0.7005,0.6534,0.7751,33.7,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",29.9
2025,MIRAM,3415,Miram,WEST WIMMERA,West Wimmera,2,0,2,0,0,0.1467,0.1455,0.2661,0.1417,92.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.9
2025,MIRBOO,3871,Mirboo,LATROBE; SOUTH GIPPSLAND,Latrobe; South Gippsland,11,5,3,3,0,0.4898,0.6093,0.3533,0.4935,55.3,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",49.1
2025,MIRBOO NORTH,3871,Mirboo North,SOUTH GIPPSLAND,South Gippsland,95,28,52,15,0,0.745,0.7845,0.754,0.7007,27.1,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",24.1
2025,MIRRANATWA,3294,Mirranatwa,SOUTHERN GRAMPIANS,Southern Grampians,1,1,0,0,0,0.0546,0.3566,0.0351,0.1417,88.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",78.3
